Reference,datefrom,dateuntil,mov_type
77370299R-115,2024-11-04 07:01:03+00:00,2024-11-04 07:01:08+00:00,walking
77370299R-115,2024-11-04 07:05:13+00:00,2024-11-04 07:05:19+00:00,walking
77370299R-115,2024-11-04 07:05:46+00:00,2024-11-04 07:05:51+00:00,not_walking
77370299R-115,2024-11-04 07:06:00+00:00,2024-11-04 07:06:08+00:00,not_walking
77370299R-115,2024-11-04 07:06:10+00:00,2024-11-04 07:06:21+00:00,not_walking
77370299R-115,2024-11-04 07:06:25+00:00,2024-11-04 07:06:38+00:00,not_walking
77370299R-115,2024-11-04 07:07:04+00:00,2024-11-04 07:07:09+00:00,not_walking
77370299R-115,2024-11-04 07:09:05+00:00,2024-11-04 07:09:10+00:00,walking
77370299R-115,2024-11-04 07:09:40+00:00,2024-11-04 07:09:49+00:00,walking
77370299R-115,2024-11-04 07:13:18+00:00,2024-11-04 07:13:23+00:00,not_walking
77370299R-115,2024-11-04 07:13:33+00:00,2024-11-04 07:13:38+00:00,not_walking
77370299R-115,2024-11-04 07:14:00+00:00,2024-11-04 07:14:08+00:00,not_walking
77370299R-115,2024-11-04 07:14:56+00:00,2024-11-04 07:15:07+00:00,not_walking
77370299R-115,2024-11-04 07:15:13+00:00,2024-11-04 07:15:18+00:00,not_walking
77370299R-115,2024-11-04 07:15:21+00:00,2024-11-04 07:15:30+00:00,not_walking
77370299R-115,2024-11-04 07:16:09+00:00,2024-11-04 07:16:14+00:00,walking
77370299R-115,2024-11-04 07:16:51+00:00,2024-11-04 07:16:56+00:00,not_walking
77370299R-115,2024-11-04 07:17:02+00:00,2024-11-04 07:17:45+00:00,walking
77370299R-115,2024-11-04 07:17:46+00:00,2024-11-04 07:17:58+00:00,walking
77370299R-115,2024-11-04 07:17:59+00:00,2024-11-04 07:18:04+00:00,walking
77370299R-115,2024-11-04 07:18:08+00:00,2024-11-04 07:18:29+00:00,walking
77370299R-115,2024-11-04 07:18:31+00:00,2024-11-04 07:18:39+00:00,walking
77370299R-115,2024-11-04 07:18:55+00:00,2024-11-04 07:19:00+00:00,walking
77370299R-115,2024-11-04 07:19:02+00:00,2024-11-04 07:19:08+00:00,walking
77370299R-115,2024-11-04 07:19:09+00:00,2024-11-04 07:19:16+00:00,walking
77370299R-115,2024-11-04 07:19:24+00:00,2024-11-04 07:19:32+00:00,walking
77370299R-115,2024-11-04 07:19:38+00:00,2024-11-04 07:19:47+00:00,walking
77370299R-115,2024-11-04 07:19:53+00:00,2024-11-04 07:19:58+00:00,walking
77370299R-115,2024-11-04 07:20:05+00:00,2024-11-04 07:20:11+00:00,walking
77370299R-115,2024-11-04 07:20:30+00:00,2024-11-04 07:20:43+00:00,not_walking
77370299R-115,2024-11-04 07:20:48+00:00,2024-11-04 07:20:55+00:00,not_walking
77370299R-115,2024-11-04 07:21:04+00:00,2024-11-04 07:21:24+00:00,not_walking
77370299R-115,2024-11-04 07:21:25+00:00,2024-11-04 07:21:50+00:00,not_walking
77370299R-115,2024-11-04 07:21:51+00:00,2024-11-04 07:22:28+00:00,not_walking
77370299R-115,2024-11-04 07:23:36+00:00,2024-11-04 07:23:49+00:00,walking
77370299R-115,2024-11-04 07:24:16+00:00,2024-11-04 07:24:23+00:00,not_walking
77370299R-115,2024-11-04 07:25:14+00:00,2024-11-04 07:25:20+00:00,not_walking
77370299R-115,2024-11-04 07:25:45+00:00,2024-11-04 07:25:55+00:00,not_walking
77370299R-115,2024-11-04 07:26:21+00:00,2024-11-04 07:26:36+00:00,not_walking
77370299R-115,2024-11-04 07:26:52+00:00,2024-11-04 07:26:58+00:00,not_walking
77370299R-115,2024-11-04 07:27:29+00:00,2024-11-04 07:27:36+00:00,walking
77370299R-115,2024-11-04 07:28:00+00:00,2024-11-04 07:28:19+00:00,walking
77370299R-115,2024-11-04 07:28:33+00:00,2024-11-04 07:28:39+00:00,not_walking
77370299R-115,2024-11-04 07:29:00+00:00,2024-11-04 07:29:09+00:00,walking
77370299R-115,2024-11-04 07:29:17+00:00,2024-11-04 07:29:32+00:00,walking
77370299R-115,2024-11-04 07:29:46+00:00,2024-11-04 07:30:00+00:00,walking
77370299R-115,2024-11-04 07:30:25+00:00,2024-11-04 07:30:48+00:00,not_walking
77370299R-115,2024-11-04 07:31:41+00:00,2024-11-04 07:31:46+00:00,walking
77370299R-115,2024-11-04 07:31:53+00:00,2024-11-04 07:32:05+00:00,walking
77370299R-115,2024-11-04 07:32:13+00:00,2024-11-04 07:32:20+00:00,walking
77370299R-115,2024-11-04 07:32:23+00:00,2024-11-04 07:32:32+00:00,walking
77370299R-115,2024-11-04 07:32:53+00:00,2024-11-04 07:33:06+00:00,not_walking
77370299R-115,2024-11-04 07:33:16+00:00,2024-11-04 07:33:23+00:00,not_walking
77370299R-115,2024-11-04 07:33:32+00:00,2024-11-04 07:33:42+00:00,not_walking
77370299R-115,2024-11-04 07:33:45+00:00,2024-11-04 07:33:55+00:00,not_walking
77370299R-115,2024-11-04 07:34:10+00:00,2024-11-04 07:34:15+00:00,walking
77370299R-115,2024-11-04 07:34:24+00:00,2024-11-04 07:34:32+00:00,not_walking
77370299R-115,2024-11-04 07:34:50+00:00,2024-11-04 07:34:58+00:00,walking
77370299R-115,2024-11-04 07:35:05+00:00,2024-11-04 07:35:11+00:00,not_walking
77370299R-115,2024-11-04 07:35:12+00:00,2024-11-04 07:35:22+00:00,not_walking
77370299R-115,2024-11-04 07:35:23+00:00,2024-11-04 07:35:40+00:00,not_walking
77370299R-115,2024-11-04 07:35:41+00:00,2024-11-04 07:36:04+00:00,not_walking
77370299R-115,2024-11-04 07:36:10+00:00,2024-11-04 07:36:15+00:00,not_walking
77370299R-115,2024-11-04 07:37:05+00:00,2024-11-04 07:37:10+00:00,walking
77370299R-115,2024-11-04 07:37:14+00:00,2024-11-04 07:37:20+00:00,walking
77370299R-115,2024-11-04 07:37:25+00:00,2024-11-04 07:37:33+00:00,walking
77370299R-115,2024-11-04 07:37:51+00:00,2024-11-04 07:37:57+00:00,walking
77370299R-115,2024-11-04 07:38:05+00:00,2024-11-04 07:38:21+00:00,not_walking
77370299R-115,2024-11-04 07:38:27+00:00,2024-11-04 07:38:32+00:00,not_walking
77370299R-115,2024-11-04 07:38:44+00:00,2024-11-04 07:38:56+00:00,not_walking
77370299R-115,2024-11-04 07:39:00+00:00,2024-11-04 07:39:17+00:00,walking
77370299R-115,2024-11-04 07:39:20+00:00,2024-11-04 07:39:28+00:00,walking
77370299R-115,2024-11-04 07:39:29+00:00,2024-11-04 07:39:35+00:00,walking
ACL1998-96,2025-07-16 07:05:51+00:00,2025-07-16 07:05:57+00:00,not_walking
ACL1998-96,2025-07-16 07:06:27+00:00,2025-07-16 07:06:34+00:00,not_walking
ACL1998-96,2025-07-16 07:06:51+00:00,2025-07-16 07:06:59+00:00,walking
ACL1998-96,2025-07-16 07:07:04+00:00,2025-07-16 07:07:12+00:00,not_walking
ACL1998-96,2025-07-16 07:07:24+00:00,2025-07-16 07:07:30+00:00,not_walking
ACL1998-96,2025-07-16 07:07:35+00:00,2025-07-16 07:07:54+00:00,not_walking
ACL1998-96,2025-07-16 07:07:59+00:00,2025-07-16 07:08:07+00:00,walking
ACL1998-96,2025-07-16 07:08:09+00:00,2025-07-16 07:08:21+00:00,not_walking
ACL1998-96,2025-07-16 07:08:47+00:00,2025-07-16 07:09:01+00:00,walking
ACL1998-96,2025-07-16 07:09:02+00:00,2025-07-16 07:09:17+00:00,walking
ACL1998-96,2025-07-16 07:09:18+00:00,2025-07-16 07:09:24+00:00,walking
ACL1998-96,2025-07-16 07:09:28+00:00,2025-07-16 07:09:42+00:00,not_walking
ACL1998-96,2025-07-16 07:09:50+00:00,2025-07-16 07:10:00+00:00,not_walking
ACL1998-96,2025-07-16 07:10:11+00:00,2025-07-16 07:10:17+00:00,not_walking
ACL1998-96,2025-07-16 07:10:18+00:00,2025-07-16 07:10:30+00:00,not_walking
ACL1998-96,2025-07-16 07:11:07+00:00,2025-07-16 07:11:13+00:00,not_walking
ACL1998-96,2025-07-16 07:11:24+00:00,2025-07-16 07:11:39+00:00,not_walking
ACL1998-96,2025-07-16 07:11:49+00:00,2025-07-16 07:11:58+00:00,not_walking
ACL1998-96,2025-07-16 07:12:02+00:00,2025-07-16 07:12:12+00:00,not_walking
ACL1998-96,2025-07-16 07:12:26+00:00,2025-07-16 07:12:33+00:00,walking
ACL1998-96,2025-07-16 07:13:00+00:00,2025-07-16 07:13:05+00:00,walking
ACL1998-96,2025-07-16 07:14:10+00:00,2025-07-16 07:14:16+00:00,walking
ACL1998-96,2025-07-16 07:14:42+00:00,2025-07-16 07:14:52+00:00,walking
ACL1998-96,2025-07-16 07:15:30+00:00,2025-07-16 07:15:35+00:00,not_walking
ACL1998-96,2025-07-16 07:15:36+00:00,2025-07-16 07:15:42+00:00,not_walking
ACL1998-96,2025-07-16 07:15:53+00:00,2025-07-16 07:16:05+00:00,not_walking
ACL1998-96,2025-07-16 07:16:56+00:00,2025-07-16 07:17:01+00:00,walking
ACL1998-96,2025-07-16 07:17:09+00:00,2025-07-16 07:17:22+00:00,walking
ACL1998-96,2025-07-16 07:17:26+00:00,2025-07-16 07:17:31+00:00,walking
ACL1998-96,2025-07-16 07:17:33+00:00,2025-07-16 07:17:43+00:00,not_walking
ACL1998-96,2025-07-16 07:17:43+00:00,2025-07-16 07:17:51+00:00,walking
ACL1998-96,2025-07-16 07:17:57+00:00,2025-07-16 07:18:03+00:00,not_walking
ACL1998-96,2025-07-16 07:18:11+00:00,2025-07-16 07:18:24+00:00,walking
ACL1998-96,2025-07-16 07:18:30+00:00,2025-07-16 07:18:35+00:00,walking
ACL1998-96,2025-07-16 07:18:42+00:00,2025-07-16 07:18:49+00:00,not_walking
ACL1998-96,2025-07-16 07:18:57+00:00,2025-07-16 07:19:02+00:00,not_walking
ACL1998-96,2025-07-16 07:19:22+00:00,2025-07-16 07:19:33+00:00,walking
ACL1998-96,2025-07-16 07:19:35+00:00,2025-07-16 07:19:42+00:00,not_walking
ACL1998-96,2025-07-16 07:19:43+00:00,2025-07-16 07:19:51+00:00,walking
ACL1998-96,2025-07-16 07:19:53+00:00,2025-07-16 07:20:00+00:00,walking
ACL1998-96,2025-07-16 07:20:05+00:00,2025-07-16 07:20:11+00:00,walking
ACL1998-96,2025-07-16 07:20:16+00:00,2025-07-16 07:20:23+00:00,walking
ACL1998-96,2025-07-16 07:20:30+00:00,2025-07-16 07:20:41+00:00,not_walking
ACL1998-96,2025-07-16 07:20:46+00:00,2025-07-16 07:20:53+00:00,walking
ACL1998-96,2025-07-16 07:21:04+00:00,2025-07-16 07:21:10+00:00,walking
ACL1998-96,2025-07-16 07:21:24+00:00,2025-07-16 07:21:34+00:00,walking
ACL1998-96,2025-07-16 07:21:35+00:00,2025-07-16 07:21:40+00:00,walking
ACL1998-96,2025-07-16 07:21:41+00:00,2025-07-16 07:21:57+00:00,walking
ACL1998-96,2025-07-16 07:22:08+00:00,2025-07-16 07:22:21+00:00,walking
ACL1998-96,2025-07-16 07:22:22+00:00,2025-07-16 07:22:31+00:00,walking
ACL1998-96,2025-07-16 07:23:49+00:00,2025-07-16 07:24:01+00:00,not_walking
ACL1998-96,2025-07-16 07:24:03+00:00,2025-07-16 07:24:12+00:00,not_walking
ACL1998-96,2025-07-16 07:24:26+00:00,2025-07-16 07:24:40+00:00,not_walking
ACL1998-96,2025-07-16 07:24:45+00:00,2025-07-16 07:25:06+00:00,not_walking
ACL1998-96,2025-07-16 07:25:17+00:00,2025-07-16 07:25:36+00:00,not_walking
ACL1998-96,2025-07-16 07:25:40+00:00,2025-07-16 07:25:57+00:00,not_walking
ACL1998-96,2025-07-16 07:26:02+00:00,2025-07-16 07:26:18+00:00,not_walking
ACL1998-96,2025-07-16 07:26:20+00:00,2025-07-16 07:26:29+00:00,not_walking
ACL1998-96,2025-07-16 07:26:37+00:00,2025-07-16 07:26:45+00:00,not_walking
ACL1998-96,2025-07-16 07:26:48+00:00,2025-07-16 07:26:53+00:00,not_walking
ACL1998-96,2025-07-16 07:27:32+00:00,2025-07-16 07:27:37+00:00,not_walking
ACL1998-96,2025-07-16 07:27:47+00:00,2025-07-16 07:28:05+00:00,not_walking
ACL1998-96,2025-07-16 07:28:17+00:00,2025-07-16 07:28:23+00:00,not_walking
ACL1998-96,2025-07-16 07:28:24+00:00,2025-07-16 07:28:32+00:00,not_walking
ACL1998-96,2025-07-16 07:28:40+00:00,2025-07-16 07:28:46+00:00,not_walking
ACL1998-96,2025-07-16 07:28:47+00:00,2025-07-16 07:28:55+00:00,not_walking
ACL1998-96,2025-07-16 07:29:21+00:00,2025-07-16 07:29:27+00:00,not_walking
ACL1998-96,2025-07-16 07:29:45+00:00,2025-07-16 07:29:57+00:00,not_walking
ACL1998-96,2025-07-16 07:30:04+00:00,2025-07-16 07:30:10+00:00,walking
ACL1998-96,2025-07-16 07:30:17+00:00,2025-07-16 07:30:22+00:00,walking
ACL1998-96,2025-07-16 07:30:23+00:00,2025-07-16 07:30:29+00:00,walking
ACL1998-96,2025-07-16 07:30:41+00:00,2025-07-16 07:30:49+00:00,walking
ACL1998-96,2025-07-16 07:31:21+00:00,2025-07-16 07:31:38+00:00,walking
ACL1998-96,2025-07-16 07:31:56+00:00,2025-07-16 07:32:11+00:00,not_walking
ACL1998-96,2025-07-16 07:32:16+00:00,2025-07-16 07:32:33+00:00,not_walking
ACL1998-96,2025-07-16 07:32:36+00:00,2025-07-16 07:32:48+00:00,not_walking
ACL1998-96,2025-07-16 07:32:54+00:00,2025-07-16 07:33:08+00:00,not_walking
ACL1998-96,2025-07-16 07:33:42+00:00,2025-07-16 07:34:05+00:00,not_walking
ACL1998-96,2025-07-16 07:34:10+00:00,2025-07-16 07:34:24+00:00,not_walking
ACL1998-96,2025-07-16 07:34:35+00:00,2025-07-16 07:34:53+00:00,walking
ACL1998-96,2025-07-16 07:34:54+00:00,2025-07-16 07:35:07+00:00,walking
ACL1998-96,2025-07-16 07:35:22+00:00,2025-07-16 07:35:45+00:00,walking
ACL1998-96,2025-07-16 07:35:50+00:00,2025-07-16 07:35:58+00:00,walking
ACL1998-96,2025-07-16 07:36:16+00:00,2025-07-16 07:36:30+00:00,not_walking
ACL1998-96,2025-07-16 07:37:11+00:00,2025-07-16 07:37:22+00:00,not_walking
ACL1998-96,2025-07-16 07:37:30+00:00,2025-07-16 07:37:36+00:00,not_walking
ACL1998-96,2025-07-16 07:37:42+00:00,2025-07-16 07:37:52+00:00,not_walking
ACL1998-96,2025-07-16 07:38:02+00:00,2025-07-16 07:38:10+00:00,not_walking
ACL1998-96,2025-07-16 07:38:46+00:00,2025-07-16 07:38:54+00:00,not_walking
ACL1998-96,2025-07-16 07:39:00+00:00,2025-07-16 07:39:13+00:00,not_walking
ACL1998-96,2025-07-16 07:39:14+00:00,2025-07-16 07:39:19+00:00,not_walking
ACL1998-96,2025-07-16 07:39:22+00:00,2025-07-16 07:39:42+00:00,not_walking
ACL1998-96,2025-07-16 07:40:08+00:00,2025-07-16 07:40:14+00:00,not_walking
ACL1998-96,2025-07-16 07:40:37+00:00,2025-07-16 07:40:43+00:00,not_walking
ACL1998-96,2025-07-16 07:41:15+00:00,2025-07-16 07:41:23+00:00,not_walking
ACL1998-96,2025-07-16 07:41:44+00:00,2025-07-16 07:41:50+00:00,not_walking
ACL1998-96,2025-07-16 07:41:51+00:00,2025-07-16 07:42:00+00:00,not_walking
ACL1998-96,2025-07-16 07:42:18+00:00,2025-07-16 07:42:25+00:00,not_walking
ACL1998-96,2025-07-16 07:42:33+00:00,2025-07-16 07:42:40+00:00,walking
ACL1998-96,2025-07-16 07:42:45+00:00,2025-07-16 07:42:51+00:00,walking
ACL1998-96,2025-07-16 07:43:02+00:00,2025-07-16 07:43:11+00:00,not_walking
ACL1998-96,2025-07-16 07:43:15+00:00,2025-07-16 07:43:26+00:00,not_walking
ACL1998-96,2025-07-16 07:43:41+00:00,2025-07-16 07:43:53+00:00,not_walking
ACL1998-96,2025-07-16 07:44:25+00:00,2025-07-16 07:44:30+00:00,not_walking
ACL1998-96,2025-07-16 07:45:21+00:00,2025-07-16 07:45:34+00:00,not_walking
ACL1998-96,2025-07-16 07:45:50+00:00,2025-07-16 07:45:57+00:00,walking
ACL1998-96,2025-07-16 07:45:58+00:00,2025-07-16 07:46:05+00:00,not_walking
ACL1998-96,2025-07-16 07:46:10+00:00,2025-07-16 07:46:24+00:00,not_walking
ACL1998-96,2025-07-16 07:46:52+00:00,2025-07-16 07:47:03+00:00,not_walking
ACL1998-96,2025-07-16 07:47:13+00:00,2025-07-16 07:47:22+00:00,walking
ACL1998-96,2025-07-16 07:47:35+00:00,2025-07-16 07:47:51+00:00,walking
ACL1998-96,2025-07-16 07:47:51+00:00,2025-07-16 07:47:57+00:00,not_walking
ACL1998-96,2025-07-16 07:47:59+00:00,2025-07-16 07:48:13+00:00,walking
ACL1998-96,2025-07-16 07:48:14+00:00,2025-07-16 07:48:20+00:00,walking
ACL1998-96,2025-07-16 07:48:26+00:00,2025-07-16 07:48:35+00:00,walking
ACL1998-96,2025-07-16 07:48:42+00:00,2025-07-16 07:48:49+00:00,walking
ACL1998-96,2025-07-16 07:49:22+00:00,2025-07-16 07:49:31+00:00,walking
ACL1998-96,2025-07-16 07:49:47+00:00,2025-07-16 07:49:53+00:00,not_walking
ACL1998-96,2025-07-16 07:49:54+00:00,2025-07-16 07:49:59+00:00,walking
AEMDHUG060-70,2026-04-28 10:43:40+00:00,2026-04-28 10:43:45+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:43:58+00:00,2026-04-28 10:44:24+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:44:56+00:00,2026-04-28 10:45:02+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:45:02+00:00,2026-04-28 10:45:07+00:00,walking
AEMDHUG060-70,2026-04-28 10:45:19+00:00,2026-04-28 10:45:28+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:45:49+00:00,2026-04-28 10:46:01+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:46:43+00:00,2026-04-28 10:46:51+00:00,walking
AEMDHUG060-70,2026-04-28 10:46:54+00:00,2026-04-28 10:46:59+00:00,walking
AEMDHUG060-70,2026-04-28 10:47:05+00:00,2026-04-28 10:47:14+00:00,walking
AEMDHUG060-70,2026-04-28 10:47:17+00:00,2026-04-28 10:47:40+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:47:48+00:00,2026-04-28 10:48:08+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:48:12+00:00,2026-04-28 10:48:46+00:00,not_walking
AEMDHUG060-70,2026-04-28 10:48:49+00:00,2026-04-28 10:48:55+00:00,walking
AEMDHUG060-70,2026-04-28 10:49:07+00:00,2026-04-28 10:49:19+00:00,walking
